"","DLT_scenario","EFF_scenario","x","y","type"
"y_est1","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0,1.09147354232004,"Estimated MTD"
"y_est2","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.01,1.07275454574435,"Estimated MTD"
"y_est3","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.02,1.05438075562035,"Estimated MTD"
"y_est4","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.03,1.03634271000499,"Estimated MTD"
"y_est5","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.04,1.01863128962087,"Estimated MTD"
"y_est6","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.05,1.00123770248332,"Estimated MTD"
"y_est7","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.06,0.984153469347724,"Estimated MTD"
"y_est8","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.07,0.967370409926465,"Estimated MTD"
"y_est9","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.08,0.950880629828457,"Estimated MTD"
"y_est10","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.09,0.93467650817742,"Estimated MTD"
"y_est11","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.1,0.918750685868111,"Estimated MTD"
"y_est12","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.11,0.903096054422481,"Estimated MTD"
"y_est13","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.12,0.887705745410322,"Estimated MTD"
"y_est14","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.13,0.872573120401302,"Estimated MTD"
"y_est15","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.14,0.857691761417521,"Estimated MTD"
"y_est16","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.15,0.843055461857741,"Estimated MTD"
"y_est17","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.16,0.82865821786631,"Estimated MTD"
"y_est18","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.17,0.814494220121585,"Estimated MTD"
"y_est19","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.18,0.800557846020248,"Estimated MTD"
"y_est20","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.19,0.786843652235424,"Estimated MTD"
"y_est21","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.2,0.773346367627908,"Estimated MTD"
"y_est22","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.21,0.760060886491116,"Estimated MTD"
"y_est23","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.22,0.746982262111566,"Estimated MTD"
"y_est24","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.23,0.734105700627818,"Estimated MTD"
"y_est25","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.24,0.721426555171881,"Estimated MTD"
"y_est26","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.25,0.708940320278027,"Estimated MTD"
"y_est27","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.26,0.696642626544878,"Estimated MTD"
"y_est28","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.27,0.684529235537499,"Estimated MTD"
"y_est29","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.28,0.672596034916978,"Estimated MTD"
"y_est30","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.29,0.660839033785758,"Estimated MTD"
"y_est31","Dose-toxicity scenario 2","Dose-efficacy scenario 2",0.3,0.649254358237636,"Estimated MTD"
