"","DLT_scenario","EFF_scenario","x_true_MTD","average_pointwise_MTD_bias"
"1","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.02,-0.0747711735730436
"2","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.03,-0.0685234081849878
"3","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.04,-0.0632642260465274
"4","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.05,-0.0588589908089325
"5","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.06,-0.0551905590291219
"6","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.07,-0.0521341055509254
"7","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.08,-0.0495766015690867
"8","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.09,-0.0473879629985427
"9","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.1,-0.0454436488938943
"10","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.11,-0.0436559795523043
"11","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.12,-0.0419678218065634
"12","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.13,-0.0403446620128653
"13","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.14,-0.0387716320596315
"14","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.15,-0.0372433061626893
"15","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.16,-0.035757711499569
"16","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.17,-0.0343140335641816
"17","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.18,-0.0329115213403483
"18","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.19,-0.0315494139040946
"19","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.2,-0.0302269670545834
"20","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.21,-0.0289434776743699
"21","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.22,-0.0276981971095416
"22","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.23,-0.0264904561646073
"23","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.24,-0.0253195382328102
"24","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.25,-0.0241847828362679
"25","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.26,-0.0230855341011977
"26","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.27,-0.0220211201500671
"27","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.28,-0.0209909396465758
"28","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.29,-0.0199943545229964
"29","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.3,-0.0190307714304964
"30","Dose-toxicity scenario 1","Dose-efficacy scenario 3",0.31,-0.0180996056025457
