"","DLT_scenario","EFF_scenario","x_true_MTD","percent_correct_MTD_recommentation","type"
"1","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.18,0.822,"Threshold 1"
"2","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.19,0.816,"Threshold 1"
"3","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.2,0.811,"Threshold 1"
"4","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.21,0.805,"Threshold 1"
"5","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.22,0.797,"Threshold 1"
"6","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.23,0.794,"Threshold 1"
"7","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.24,0.79,"Threshold 1"
"8","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.25,0.784,"Threshold 1"
"9","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.26,0.783,"Threshold 1"
"10","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.27,0.777,"Threshold 1"
"11","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.28,0.772,"Threshold 1"
"12","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.29,0.772,"Threshold 1"
"13","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.3,0.77,"Threshold 1"
"14","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.31,0.772,"Threshold 1"
"15","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.32,0.777,"Threshold 1"
"16","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.33,0.781,"Threshold 1"
"17","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.34,0.775,"Threshold 1"
"18","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.35,0.778,"Threshold 1"
"19","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.36,0.779,"Threshold 1"
"20","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.37,0.783,"Threshold 1"
"21","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.38,0.776,"Threshold 1"
"22","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.39,0.779,"Threshold 1"
"23","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.4,0.785,"Threshold 1"
"24","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.41,0.788,"Threshold 1"
"25","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.42,0.795,"Threshold 1"
"26","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.43,0.798,"Threshold 1"
"27","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.44,0.799,"Threshold 1"
"28","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.45,0.799,"Threshold 1"
"29","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.46,0.803,"Threshold 1"
"30","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.47,0.809,"Threshold 1"
"31","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.48,0.815,"Threshold 1"
"32","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.49,0.815,"Threshold 1"
"33","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.5,0.817,"Threshold 1"
"34","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.51,0.817,"Threshold 1"
"35","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.52,0.812,"Threshold 1"
"36","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.53,0.808,"Threshold 1"
"37","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.54,0.81,"Threshold 1"
"38","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.55,0.81,"Threshold 1"
"39","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.56,0.81,"Threshold 1"
"40","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.57,0.803,"Threshold 1"
"41","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.58,0.798,"Threshold 1"
"42","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.59,0.788,"Threshold 1"
"43","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.6,0.777,"Threshold 1"
"44","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.61,0.769,"Threshold 1"
"45","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.62,0.767,"Threshold 1"
"46","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.63,0.762,"Threshold 1"
"47","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.64,0.752,"Threshold 1"
"48","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.65,0.741,"Threshold 1"
"49","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.66,0.731,"Threshold 1"
"50","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.67,0.721,"Threshold 1"
"51","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.68,0.711,"Threshold 1"
"52","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.69,0.702,"Threshold 1"
"53","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.7,0.694,"Threshold 1"
"54","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.71,0.683,"Threshold 1"
"55","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.72,0.676,"Threshold 1"
"56","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.73,0.665,"Threshold 1"
"57","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.74,0.658,"Threshold 1"
"58","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.75,0.646,"Threshold 1"
"59","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.76,0.635,"Threshold 1"
"60","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.77,0.623,"Threshold 1"
"61","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.78,0.612,"Threshold 1"
"62","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.79,0.606,"Threshold 1"
"63","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.8,0.593,"Threshold 1"
"64","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.81,0.587,"Threshold 1"
"65","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.82,0.58,"Threshold 1"
"66","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.83,0.571,"Threshold 1"
"67","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.84,0.564,"Threshold 1"
"68","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.85,0.555,"Threshold 1"
"69","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.86,0.551,"Threshold 1"
"70","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.87,0.547,"Threshold 1"
"71","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.88,0.537,"Threshold 1"
"72","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.89,0.531,"Threshold 1"
"73","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.9,0.525,"Threshold 1"
"74","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.91,0.517,"Threshold 1"
"75","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.92,0.514,"Threshold 1"
"76","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.93,0.509,"Threshold 1"
"77","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.94,0.505,"Threshold 1"
"78","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.95,0.499,"Threshold 1"
"79","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.96,0.496,"Threshold 1"
"80","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.97,0.491,"Threshold 1"
"81","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.98,0.481,"Threshold 1"
"82","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.99,0.478,"Threshold 1"
"83","Dose-toxicity scenario 2","Dose-efficacy scenario 1",1,0.476,"Threshold 1"
"84","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.18,0.966,"Threshold 2"
"85","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.19,0.964,"Threshold 2"
"86","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.2,0.964,"Threshold 2"
"87","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.21,0.97,"Threshold 2"
"88","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.22,0.973,"Threshold 2"
"89","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.23,0.974,"Threshold 2"
"90","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.24,0.973,"Threshold 2"
"91","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.25,0.974,"Threshold 2"
"92","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.26,0.97,"Threshold 2"
"93","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.27,0.971,"Threshold 2"
"94","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.28,0.971,"Threshold 2"
"95","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.29,0.971,"Threshold 2"
"96","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.3,0.973,"Threshold 2"
"97","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.31,0.972,"Threshold 2"
"98","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.32,0.971,"Threshold 2"
"99","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.33,0.968,"Threshold 2"
"100","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.34,0.969,"Threshold 2"
"101","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.35,0.968,"Threshold 2"
"102","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.36,0.967,"Threshold 2"
"103","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.37,0.968,"Threshold 2"
"104","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.38,0.968,"Threshold 2"
"105","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.39,0.968,"Threshold 2"
"106","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.4,0.969,"Threshold 2"
"107","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.41,0.97,"Threshold 2"
"108","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.42,0.971,"Threshold 2"
"109","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.43,0.971,"Threshold 2"
"110","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.44,0.974,"Threshold 2"
"111","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.45,0.974,"Threshold 2"
"112","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.46,0.974,"Threshold 2"
"113","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.47,0.975,"Threshold 2"
"114","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.48,0.978,"Threshold 2"
"115","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.49,0.977,"Threshold 2"
"116","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.5,0.979,"Threshold 2"
"117","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.51,0.981,"Threshold 2"
"118","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.52,0.982,"Threshold 2"
"119","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.53,0.983,"Threshold 2"
"120","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.54,0.983,"Threshold 2"
"121","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.55,0.985,"Threshold 2"
"122","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.56,0.985,"Threshold 2"
"123","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.57,0.988,"Threshold 2"
"124","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.58,0.988,"Threshold 2"
"125","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.59,0.987,"Threshold 2"
"126","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.6,0.987,"Threshold 2"
"127","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.61,0.983,"Threshold 2"
"128","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.62,0.982,"Threshold 2"
"129","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.63,0.979,"Threshold 2"
"130","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.64,0.979,"Threshold 2"
"131","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.65,0.978,"Threshold 2"
"132","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.66,0.979,"Threshold 2"
"133","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.67,0.977,"Threshold 2"
"134","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.68,0.972,"Threshold 2"
"135","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.69,0.967,"Threshold 2"
"136","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.7,0.964,"Threshold 2"
"137","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.71,0.961,"Threshold 2"
"138","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.72,0.96,"Threshold 2"
"139","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.73,0.954,"Threshold 2"
"140","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.74,0.947,"Threshold 2"
"141","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.75,0.939,"Threshold 2"
"142","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.76,0.933,"Threshold 2"
"143","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.77,0.928,"Threshold 2"
"144","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.78,0.926,"Threshold 2"
"145","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.79,0.916,"Threshold 2"
"146","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.8,0.911,"Threshold 2"
"147","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.81,0.903,"Threshold 2"
"148","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.82,0.894,"Threshold 2"
"149","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.83,0.888,"Threshold 2"
"150","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.84,0.884,"Threshold 2"
"151","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.85,0.876,"Threshold 2"
"152","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.86,0.868,"Threshold 2"
"153","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.87,0.861,"Threshold 2"
"154","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.88,0.853,"Threshold 2"
"155","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.89,0.847,"Threshold 2"
"156","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.9,0.842,"Threshold 2"
"157","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.91,0.835,"Threshold 2"
"158","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.92,0.833,"Threshold 2"
"159","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.93,0.824,"Threshold 2"
"160","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.94,0.821,"Threshold 2"
"161","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.95,0.813,"Threshold 2"
"162","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.96,0.808,"Threshold 2"
"163","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.97,0.8,"Threshold 2"
"164","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.98,0.791,"Threshold 2"
"165","Dose-toxicity scenario 2","Dose-efficacy scenario 1",0.99,0.785,"Threshold 2"
