"","x","y","DLT_scenario","EFF_scenario"
"1",0.83,0.00746722815199467,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"2",1,0.131032862160975,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"3",0.24,0.995664047179017,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"4",0.17,0.993981237663835,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"5",0.78,0.0172522923504306,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"6",1,0.146448152683157,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"7",1,0.201783294906825,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"8",0.18,0.99344121537848,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"9",0.14,0.983078744296223,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"10",0.2,0.980273179346082,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"11",0.12,0.972037605299944,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"12",0.25,0.995634892097021,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"13",0,0.969326753653413,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"14",1,0.25934918124892,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"15",0,0.965874182089565,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"16",0.23,0.974608700069429,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"17",0.2,0.986291459523059,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"18",0.15,0.994597558643212,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"19",0.2,0.980926629423161,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"20",0.23,0.993619211458212,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"21",0.14,0.993319793484726,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"22",0.19,0.996405097830113,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"23",0.23,0.991320944698513,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"24",0.28,0.862035918608832,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"25",1,0.182751274219916,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"26",0.95,0.00369562711242224,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"27",0.22,0.967882501903494,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"28",1,0.331021267830312,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"29",0.21,0.981560010243728,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"30",0.65,0.268790208581513,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"31",0.17,0.970180863081978,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"32",1,0.156304060157102,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"33",0.01,0.994547469681241,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"34",1,0.0108707981957531,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"35",1,0.0793316103521993,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"36",0.27,0.997197298088174,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"37",1,0.161201759609454,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"38",0.15,0.97660943661447,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"39",0.33,0.989746147436832,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"40",0.22,0.987420774517112,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"41",0.26,0.986226635237436,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"42",0.21,0.987866075629641,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"43",1,0.155889892172559,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"44",0.26,0.982510375883483,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"45",0.21,0.98403963308315,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"46",0,0.942024528948447,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"47",0,0.969103240647746,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"48",0.15,0.982990167202402,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"49",0.32,0.989875469465427,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"50",0.27,0.973126506465354,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"51",0.15,0.990707176054712,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"52",0.23,0.987859089538706,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"53",1,0.0303685661054077,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"54",0.18,0.981550184707774,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"55",0.18,0.973351847013414,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"56",0.16,0.983580282204353,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"57",0.16,0.997202481446854,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"58",0.73,0.00137434734028251,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"59",1,0.187442436127787,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"60",0.45,0.982668903185955,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"61",0,0.937066831066177,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"62",0.18,0.991923210792444,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"63",0.03,0.986478963022659,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"64",0.24,0.987391357894579,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"65",0.29,0.988422513669806,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"66",0.08,0.982432213158608,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"67",0.23,0.984246314220091,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"68",0.68,0.114511439126669,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"69",0.69,0.0988936992582439,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"70",0.7,0.0832759594544497,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"71",0.26,0.971534087524867,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"72",0.94,0.00350475750395002,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
"73",1,0.116503767346188,"Dose-toxicity scenario 2","Dose-efficacy scenario 1"
